project_id,project_type,location,sqft,floors,num_units,planned_duration_weeks,actual_duration_weeks,schedule_delay_pct,estimated_cost_cad,actual_cost_cad,cost_overrun_pct,contractor_rating,complexity_score,team_experience_years,num_change_orders,weather_risk_factor,material_volatility,num_subcontractors,budget_pressure,risk_score,on_budget,on_schedule,data_source
SYN_00000,residential_multi_family,Halifax,123745.0,8,123,495.0,518.5,4.75,32412065.970800005,36528398.349091604,12.7,4.5,5,9.2,3,0.36,0.51,16,0.51,47.4,False,True,synthetic_industry_based
SYN_00001,residential_multi_family,Calgary,82668.0,4,82,480.3,460.0,-4.24,35310946.242,33506556.889033798,-5.11,4.1,4,13.6,3,0.36,0.51,6,0.34,36.4,True,True,synthetic_industry_based
SYN_00002,residential_single_family,Toronto,2183.0,2,2,27.4,31.2,13.65,967961.137,1219921.4209611,26.03,3.8,3,6.0,6,0.4,0.42,4,0.42,37.3,False,False,synthetic_industry_based
SYN_00003,renovation_commercial,Ottawa,41924.0,2,0,203.4,203.7,0.17,8163071.978400001,8389189.072201682,2.77,5.0,3,11.7,0,0.4,0.33,3,0.69,35.6,True,True,synthetic_industry_based
SYN_00004,healthcare_hospital,Toronto,725775.0,4,0,520.0,552.4791205653509,6.25,847232234.7839999,942122245.079808,11.2,3.9,8,9.7,18,0.38,0.66,111,0.13745401188473624,60.8,False,False,synthetic_industry_based
SYN_00005,residential_multi_family,Calgary,99721.0,6,99,520.0,524.1754169240271,0.8,47679650.876,49505781.5045508,3.83,4.1,6,11.5,5,0.45,0.38,13,0.26,41.8,True,True,synthetic_industry_based
SYN_00006,infrastructure_bridge,Winnipeg,3101.0,0,0,58.1,64.8,11.49,12122488.737,14853685.4494461,22.53,4.3,5,5.0,11,0.55,0.38,3,0.0,41.1,False,False,synthetic_industry_based
SYN_00007,education_school,Saskatoon,41976.0,1,0,170.0,174.8,2.86,12559593.555,13373455.217364,6.48,4.2,4,7.6,4,0.38,0.32,5,0.43,39.6,False,True,synthetic_industry_based
SYN_00008,residential_multi_family,Halifax,189153.0,10,189,520.0,593.8316198944152,14.19,48532257.339600004,53749475.003607005,10.75,3.8,6,13.5,10,0.31,0.25,23,0.52,49.2,False,False,synthetic_industry_based
SYN_00009,residential_single_family,Vancouver,3218.0,2,3,36.7,49.6,35.15,1954371.6855000001,2803546.1828497504,43.45,3.8,3,6.2,12,0.28,0.38,3,0.23,32.8,False,False,synthetic_industry_based
SYN_00010,residential_multi_family,Edmonton,142204.0,4,142,520.0,711.1940841314099,36.77,49507706.865600005,49443346.846674725,-0.13,4.2,5,11.5,7,0.44,0.47,11,0.45,43.0,True,False,synthetic_industry_based
SYN_00011,industrial_warehouse,Vancouver,463100.0,1,0,520.0,607.2142446869615,16.77,135555209.127,153136719.75077188,12.97,3.8,6,9.8,9,0.44,0.54,33,0.63,59.0,False,False,synthetic_industry_based
SYN_00012,healthcare_hospital,Montreal,892732.0,9,0,520.0,467.9991045135959,-10.0,793464203.427,809650873.1769109,2.04,4.8,9,14.9,17,0.33,0.79,134,0.19507143064099164,55.0,True,True,synthetic_industry_based
SYN_00013,industrial_warehouse,Toronto,252008.0,1,0,516.7,588.0,13.8,43469704.967,66491260.717523195,52.96,3.0,6,11.4,23,0.3,0.54,16,0.77,53.0,False,False,synthetic_industry_based
